names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Pat Ryan,New York 18th,House,Federal,Legislative,https://ballotpedia.org/Pat_Ryan_(New_York),https://www.patryanforcongress.com/,PatRyanUC,,,Democratic Party,Won,"260,987","131,460",0.504,21.0,10.0,7.0,,5,56,0,31,16,9,2553,763,28.872,,,,,5.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,53,15,0,0,12,0,0,0,26
Josh Riley,New York 19th,House,Federal,Legislative,https://ballotpedia.org/Josh_Riley,https://joshrileyforcongress.com/,joshuaue99,,,Democratic Party,Lost,"279,812","136,789",0.489,25.0,27.0,4.0,4.0,5,167,0,52,8,107,4211,698,62.1,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,0,0,8,4,0,0,34
Elizabeth Joy,New York 20th,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Joy,https://joyfornewyork.com/,LizLemeryJoy,,,Republican Party,Lost,"285,463","128,970",0.452,5.0,1.0,,1.0,1,10,1,7,2,0,86,65,82.34,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Francis Conole,New York 22nd,House,Federal,Legislative,https://ballotpedia.org/Francis_Conole,https://conoleforcongress.com/,FDConole,,,Democratic Party,Lost,"261,751","128,837",0.492,20.0,,,4.0,4,44,17,20,7,0,444,147,76.63333333,2.0,,,,3.0,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,,7,6,0,0,1,0,0,0,0
Steven Holden,New York 24th,House,Federal,Legislative,https://ballotpedia.org/Steven_Holden,https://www.nystevenholden.com,believein_steve,,,Democratic Party,Lost,"269,768","91,703",0.34,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
La'Ron Singletary,New York 25th,House,Federal,Legislative,https://ballotpedia.org/La'Ron_Singletary,https://singletary4congress.com/,LaRon4Congress,,LaRonSingletary,Republican Party,Lost,"277,308","128,502",0.463,22.0,,,1.0,1,30,2,23,3,2,358,201,40.35,,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,44,16,2,0,9,0,0,0,17
Steven Sams,New York 26th,House,Federal,Legislative,https://ballotpedia.org/Steven_Sams,https://www.samsforthepeople.com/,StevenLSamsII,,,Republican Party,Lost,"239,951","86,822",0.362,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Sandy Smith,North Carolina 1st,House,Federal,Legislative,https://ballotpedia.org/Sandy_Smith_(North_Carolina),https://sandysmithnc.com/,SandySmithNC,,,Republican Party,Lost,"255,857","122,128",0.477,,93.0,6.0,,92,757,10,94,14,639,25008,3395,46.80597826,5.0,,,,8.0,268.0,5.0,,,,,371.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,11,4,0,5,0,0,0,28
Christine Villaverde,North Carolina 2nd,House,Federal,Legislative,https://ballotpedia.org/Christine_Villaverde,https://votevillaverde.com/,Villaverde4NC,,,Republican Party,Lost,"289,143","102,840",0.356,11.0,197.0,13.0,13.0,36,945,24,275,67,579,7178,1350,60.87833333,24.0,,,,15.0,67.0,,,,4.0,17.0,512.0,1.0,,,,,4.0,9.0,,,,,5.0,,53.0,,,,,,,,,,,,,,,,,,,55,6,4,0,5,4,0,0,36
Barbara Gaskins,North Carolina 3rd,House,Federal,Legislative,https://ballotpedia.org/Barbara_Gaskins,https://www.barbara4congress.com/,barbara4NC,,,Democratic Party,Lost,"247,193","81,503",0.33,2.0,,,1.0,1,11,4,4,3,0,172,92,73.88,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,1,0,2,0,0,0,9
Kyle Parrish,North Carolina 5th,House,Federal,Legislative,https://ballotpedia.org/Kyle_Parrish,https://kyleparrishforcongress.com,KP4NC,,,Democratic Party,Lost,"274,482","100,388",0.366,,,9.0,8.0,8,558,18,1,25,514,3082,832,55.86125,,,,,,464.0,6.0,,,,,36.0,1.0,4.0,,,14.0,,,,,,,,,,,8.0,,,,8.0,,,,,,,,,,,,,10,4,0,0,5,0,0,0,1
Christian Castelli,North Carolina 6th,House,Federal,Legislative,https://ballotpedia.org/Christian_Castelli,https://www.castellifornc.com/,Castelli4NC,,,Republican Party,Lost,"256,950","116,076",0.452,28.0,3.0,6.0,3.0,3,61,6,31,15,9,1449,581,53.93,,,,,3.0,6.0,6.0,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,16,0,0,10,0,0,0,17
Charles Graham,North Carolina 7th,House,Federal,Legislative,https://ballotpedia.org/Charles_Graham_(North_Carolina),https://votecharlesgraham.com/,,,,Democratic Party,Lost,"276,431","116,549",0.422,119.0,24.0,,21.0,21,238,18,143,56,21,6636,1377,52.95857143,18.0,,,,14.0,,,,,,20.0,21.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Scott Huffman,North Carolina 8th,House,Federal,Legislative,https://ballotpedia.org/Scott_Huffman,https://www.scotthuffman.com/,HuffmanForNC,,,Democratic Party,Lost,"260,510","77,868",0.299,61.0,54.0,,53.0,53,750,58,211,106,375,57377,3148,51.26230769,6.0,,,,,3.0,52.0,,,,53.0,371.0,10.0,,,,1.0,,,,,,,,49.0,,,,,,,,,,37.0,,,,,,,,,,85,14,2,0,11,4,0,0,54
Ben Clark,North Carolina 9th,House,Federal,Legislative,https://ballotpedia.org/Ben_Clark,https://www.benclarknc.com,BenClarkNC,,,Democratic Party,Lost,"230,610","99,848",0.433,3.0,48.0,12.0,12.0,13,361,260,51,24,26,7745,741,60.24846154,55.0,,,,,26.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7,4,0,3,0,0,0,16
Pamela Genant,North Carolina 10th,House,Federal,Legislative,https://ballotpedia.org/Pam_Genant,https://www.pamgenant.com/,PamGenant,,,Democratic Party,Lost,"268,207","73,174",0.273,,,,1.0,1,9,1,0,3,5,37,34,87.72,,,,,1.0,4.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5,0,0,6,3,0,0,17
Bo Hines,North Carolina 13th,House,Federal,Legislative,https://ballotpedia.org/Bo_Hines,https://bo4nc.com,BoHines,,,Republican Party,Lost,"273,822","133,291",0.487,2.0,2.0,,2.0,2,47,9,12,11,15,461,199,66.25,6.0,,,,2.0,2.0,,,,,2.0,12.0,,,,,1.0,,,,,,,,,8.0,5.0,,,,,,,,,,3.0,,,,,,,,62,9,2,0,5,6,0,0,40
Pat Harrigan,North Carolina 14th,House,Federal,Legislative,https://ballotpedia.org/Pat_Harrigan,https://www.harriganforcongress.com,PatHarriganNC,,,Republican Party,Lost,"254,363","108,170",0.425,25.0,10.0,9.0,10.0,10,107,10,35,29,33,1332,152,52.164,10.0,,,,,29.0,,,,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,19,8,1,13,0,1,0,22
Cara Mund,North Dakota 1st,House,Federal,Legislative,https://ballotpedia.org/Cara_Mund,http://caramund.com/,caramund,,,Independent,Lost,"237,923","89,379",0.376,,,4.0,6.0,6,62,0,6,15,41,1443,459,50.6,,,,,,34.0,,,,6.0,,6.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,39,26,0,0,0,0,0,0,13
Samantha Meadows,Ohio 2nd,House,Federal,Legislative,https://ballotpedia.org/Samantha_Meadows,https://www.samanthameadowsforcongress.com/,SMeadows4OH2,,,Democratic Party,Lost,"252,618","64,329",0.255,2.0,,,,1,6,1,3,1,1,56,41,65.73,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,20,8,0,0,4,0,0,0,8
Lee Stahley,Ohio 3rd,House,Federal,Legislative,https://ballotpedia.org/Lee_Stahley,https://www.stahleyforcongress.com,LeeStahley,,,Republican Party,Lost,"258,797","76,455",0.295,5.0,,8.0,1.0,8,24,1,6,13,4,1622,560,80.58625,,,,,4.0,1.0,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,95,15,4,0,6,4,1,0,65
Tamie Wilson,Ohio 4th,House,Federal,Legislative,https://ballotpedia.org/Tamie_Wilson,https://www.tamiewilson.com/,Tamie_Wilson_,,,Democratic Party,Lost,"284,042","87,144",0.307,155.0,39.0,15.0,23.0,23,333,1,217,114,1,5132,1162,52.54272727,23.0,,1.0,,20.0,,,,,,23.0,,,,,,1.0,,23.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,38,7,4,0,5,0,0,0,22
Vince Licursi,Ohio 7th,House,Federal,Legislative,https://ballotpedia.org/Vince_Licursi,https://www.writeinvince.com/,VincentLicursi,,,Independent,Lost,"303,583",51,0.0,,4.0,,,2,8,0,4,1,3,120,41,73.68,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
David Esrati,Ohio 10th,House,Federal,Legislative,https://ballotpedia.org/David_Esrati,https://electesrati.com,Esrati,,,Democratic Party,Lost,"260,175","98,383",0.378,42.0,26.0,20.0,15.0,15,158,34,69,54,1,10138,2405,54.89357143,4.0,,,1.0,3.0,,,15.0,,,15.0,1.0,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,72,13,2,0,9,0,0,0,48
Madison Gesiotto Gilbert,Ohio 13th,House,Federal,Legislative,https://ballotpedia.org/Madison_Gesiotto_Gilbert,https://www.madisongesiotto.com/,,,madisongesiotto,Republican Party,Lost,"277,530","131,704",0.475,,,,,1,3,0,1,1,1,51,42,54.22,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,87,19,2,0,10,4,0,0,52
Gary Josephson,Ohio 15th,House,Federal,Legislative,https://ballotpedia.org/Gary_Josephson,https://josephson4rep.org,josephson4rep,,,Democratic Party,Lost,"230,684","90,672",0.393,,,,5.0,5,48,9,3,15,21,850,417,65.0825,2.0,,,,5.0,1.0,7.0,,,,5.0,20.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,18,14,1,0,1,0,0,0,2
Adam Martin,Oklahoma 1st,House,Federal,Legislative,https://ballotpedia.org/Adam_Martin_(Oklahoma),https://www.martinforcongress.com/,AdamMartin4OK,,,Democratic Party,Lost,"233,148","80,835",0.347,5.0,,1.0,,4,10,0,5,5,0,925,373,44.6125,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,0,0,5,0,0,0,35
Naomi Andrews,Oklahoma 2nd,House,Federal,Legislative,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),https://www.naomiforok.com,NaomiForOK,,,Democratic Party,Lost,"231,459","54,149",0.234,5.0,59.0,5.0,1.0,32,175,67,64,30,14,6544,1146,82.0603125,,,,,24.0,10.0,,,,,,,,4.0,39.0,22.0,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,119,24,1,0,9,4,0,0,81
Mary Brannon,Oklahoma 4th,House,Federal,Legislative,https://ballotpedia.org/Mary_Brannon,https://www.electbrannon.com,electbrannon,,,Democratic Party,Lost,"224,375","74,598",0.332,13.0,,,,4,14,0,13,0,1,822,387,68.095,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,10,0,0,5,0,0,0,28
Joshua Harris-Till,Oklahoma 5th,House,Federal,Legislative,https://ballotpedia.org/Joshua_Harris-Till,https://www.jhtforcongress.com,JHTforCongress,,JHarrisTill,Democratic Party,Lost,"258,594","96,709",0.374,6.0,15.0,5.0,,13,59,26,21,11,1,3042,724,52.12692308,,,,,6.0,,,,,,,1.0,,5.0,17.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,20,0,0,9,0,0,0,65
David Frosch,Oklahoma 5th,House,Federal,Legislative,https://ballotpedia.org/David_Frosch,https://davidfrosch.com/,FroschForOK,,,Independent,Lost,"258,594","9,318",0.036,28.0,2.0,14.0,9.0,9,105,6,30,24,45,2441,845,59.32444444,,,,,1.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,21,9,7,0,1,0,0,0,4
Joseph Yetter,Oregon 2nd,House,Federal,Legislative,https://ballotpedia.org/Joseph_Yetter,https://www.joefororegon.com,JoeForOregon,,,Democratic Party,Lost,"234,977","78,824",0.335,,18.0,7.0,,6,25,0,18,7,0,5200,1408,66.27166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Joanna Harbour,Oregon 3rd,House,Federal,Legislative,https://ballotpedia.org/Joanna_Harbour,https://joanna4oregon.com/,joanna4oregon,,,Republican Party,Lost,"180,690","49,022",0.271,,8.0,,6.0,6,17,0,8,9,0,868,336,47.07333333,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0,0,2,0,0,0,8
Alek Skarlatos,Oregon 4th,House,Federal,Legislative,https://ballotpedia.org/Alek_Skarlatos,https://www.alekfororegon.com/,alekskarlatos,,,Republican Party,Lost,"322,520","138,544",0.43,88.0,64.0,,8.0,8,197,29,152,16,0,2626,761,40.59375,25.0,,,,,,4.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,13,6,0,16,4,0,0,62
Levi Leatherberry,Oregon 4th,House,Federal,Legislative,https://ballotpedia.org/Levi_Leatherberry,https://www.levileatherberry.com,,,,Libertarian Party,Lost,"322,520","8,358",0.026,9.0,,3.0,1.0,1,18,3,9,5,1,260,155,47.15,2.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,4,0,0,0,0,0,8
Jamie McLeod-Skinner,Oregon 5th,House,Federal,Legislative,https://ballotpedia.org/Jamie_McLeod-Skinner,https://jamiefororegon.com,jamiefororegon,,,Democratic Party,Lost,"316,361","154,581",0.489,27.0,,,2.0,2,35,2,28,5,0,3123,1095,45.2,,1.0,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,139,7,2,0,45,3,0,0,82
Mike Erickson,Oregon 6th,House,Federal,Legislative,https://ballotpedia.org/Mike_Erickson_(Oregon),https://mikeericksonforcongress.org/,,,,Republican Party,Lost,"294,377","139,946",0.475,469.0,344.0,7.0,55.0,55,911,21,814,62,14,27213,2331,37.49581818,13.0,,1.0,1.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,65,25,4,0,7,0,0,0,29
Ashley Ehasz,Pennsylvania 1st,House,Federal,Legislative,https://ballotpedia.org/Ashley_Ehasz,https://www.ehaszforcongress.com/,ashley_ehasz,,,Democratic Party,Lost,"347,951","153,210",0.44,102.0,10.0,,,19,162,1,135,5,21,952,420,59.23105263,1.0,,,,5.0,19.0,,,,,,,2.0,,,,2.0,,,,2.0,,,,,19.0,,,,,,,,,,,,,,,,,,,53,20,2,0,10,0,0,0,21
Aaron Bashir,Pennsylvania 2nd,House,Federal,Legislative,https://ballotpedia.org/Aaron_Bashir,https://bashirforcongress.com/,aaron_bashir,,,Republican Party,Lost,"113,192","31,451",0.278,102.0,8.0,,8.0,8,141,5,110,24,2,2675,709,66.32,5.0,,,,8.0,2.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9,3,0,2,0,0,0,26
David Galluch,Pennsylvania 5th,House,Federal,Legislative,https://ballotpedia.org/David_Galluch,https://www.galluchforcongress.com,DaveGalluchPA,,,Republican Party,Lost,"300,115","107,079",0.357,,1.0,,1.0,1,4,0,2,2,0,44,39,90.39,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Guy Ciarrocchi,Pennsylvania 6th,House,Federal,Legislative,https://ballotpedia.org/Guy_Ciarrocchi,https://ourguyforcongress.com/,guyciarrocchi,,,Republican Party,Lost,"300,011","131,145",0.437,20.0,271.0,5.0,63.0,63,567,39,305,131,92,20460,1952,58.07111111,15.0,13.0,,,,86.0,,,,,63.0,6.0,1.0,,8.0,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,140,7,0,0,27,12,0,0,94
Lisa Scheller,Pennsylvania 7th,House,Federal,Legislative,https://ballotpedia.org/Lisa_Scheller,https://lisaschellerpa.com/,SchellerforPA,,,Republican Party,Lost,"294,463","144,875",0.492,63.0,353.0,14.0,63.0,63,872,255,418,149,50,24536,3824,44.40081967,16.0,2.0,,,9.0,,150.0,63.0,,,63.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,68,11,2,0,8,4,0,0,43
Jim Bognet,Pennsylvania 8th,House,Federal,Legislative,https://ballotpedia.org/Jim_Bognet,https://www.bognetforcongress.com/,Bognet4congress,,jimbognet,Republican Party,Lost,"282,492","137,945",0.488,3.0,1.0,1.0,1.0,1,7,0,4,3,0,106,80,66.64,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0
Amanda Waldman,Pennsylvania 9th,House,Federal,Legislative,https://ballotpedia.org/Amanda_Waldman,https://waldman4pa.com/,Waldman4PA,,Manders_insight,Democratic Party,Lost,"296,361","90,015",0.304,25.0,9.0,2.0,,20,133,49,62,22,0,3557,1001,45.419,1.0,,,,20.0,,1.0,20.0,,,,,,28.0,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,15,9,4,0,2,0,0,0,0
Shamaine Daniels,Pennsylvania 10th,House,Federal,Legislative,https://ballotpedia.org/Shamaine_Daniels,https://danielsforcongress.org/,,,ShamaineDaniels,Democratic Party,Lost,"311,287","143,124",0.46,83.0,14.0,,7.0,7,124,1,104,12,7,3445,721,46.81571429,,,1.0,7.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,12,5,0,6,0,0,0,31
Bob Hollister,Pennsylvania 11th,House,Federal,Legislative,https://ballotpedia.org/Bob_Hollister,https://www.hollisterforcongress.com/,Hollister4PA,,,Democratic Party,Lost,"303,444","112,911",0.372,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Michael Doyle,Pennsylvania 12th,House,Federal,Legislative,https://ballotpedia.org/Michael_Doyle_(Pennsylvania_congressional_candidate),https://www.votemikedoyle.com/,VoteMikeDoyle,,,Republican Party,Lost,"320,790","141,991",0.443,74.0,82.0,7.0,4.0,31,255,53,162,17,23,8050,1107,65.29580645,6.0,,6.0,,,19.0,11.0,9.0,,,2.0,4.0,,,9.0,,,,,,,,,,,,4.0,,,,,,,,,,17.0,,1.0,,,,,,0,0,0,0,0,0,0,0,0
Michael Molesevich,Pennsylvania 15th,House,Federal,Legislative,https://ballotpedia.org/Michael_Molesevich,https://www.padistrict15.org/,,,,Democratic Party,Lost,"290,189","85,933",0.296,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Jeremy Shaffer,Pennsylvania 17th,House,Federal,Legislative,https://ballotpedia.org/Jeremy_Shaffer,https://www.jeremyshaffer.com,JeremyShafferPA,,,Republican Party,Lost,"355,672","166,480",0.468,,,,1.0,1,3,0,0,3,0,44,34,52.2,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0
Allan Fung,Rhode Island 2nd,House,Federal,Legislative,https://ballotpedia.org/Allan_Fung,https://www.fungforri.com/,AllanFungRI,,,Republican Party,Lost,"197,782","92,868",0.47,5.0,8.0,3.0,,15,72,0,29,15,28,7229,1681,53.13533333,,,,,12.0,22.0,,,,,,,,,,,6.0,,,,1.0,,,,,15.0,,,,,,,,,,,,,,,,,,,23,16,0,0,3,0,0,0,4
Annie Andrews,South Carolina 1st,House,Federal,Legislative,https://ballotpedia.org/Annie_Andrews,https://www.drannieandrews.com/,AnnieAndrewsMD,,,Democratic Party,Lost,"271,601","115,316",0.425,124.0,41.0,117.0,1.0,70,605,319,165,119,2,20503,2406,69.20828571,,,,,1.0,,,,,,,2.0,,83.0,208.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,23,4,0,24,0,0,0,40
Joseph Oddo,South Carolina 1st,House,Federal,Legislative,https://ballotpedia.org/Joseph_Oddo,https://bettercandidates.org/,writeconsult,,,Alliance Party,Lost,"271,601","2,628",0.01,,,13.0,5.0,5,268,7,17,23,221,1585,349,50.044,,,,,,191.0,5.0,,,,,30.0,17.0,2.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,104,13,2,0,13,0,0,2,74
Lee Turner,South Carolina 4th,House,Federal,Legislative,https://ballotpedia.org/Lee_Turner_(South_Carolina),https://leeturner.vote/,VoteLeeTurner,,,Independent,Lost,"182,365","16,758",0.092,,,9.0,7.0,7,359,14,0,16,329,2021,676,63.15571429,2.0,,,,,309.0,11.0,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Evangeline Hundley,South Carolina 5th,House,Federal,Legislative,https://ballotpedia.org/Evangeline_Hundley,https://www.ehundleyforcongress.com,district5eva,,,Democratic Party,Lost,"210,217","71,469",0.34,25.0,20.0,3.0,4.0,6,58,0,45,13,0,7412,1720,-3.766666667,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8,4,0,3,0,0,0,9
Duke Buckner,South Carolina 6th,House,Federal,Legislative,https://ballotpedia.org/Duke_Buckner,https://voteforduke.com,,,,Republican Party,Lost,"188,253","72,509",0.385,,,,1.0,1,5,1,1,3,0,27,23,74.69,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Daryl Scott,South Carolina 7th,House,Federal,Legislative,https://ballotpedia.org/Daryl_Scott,https://www.scottforsc.com/,ScottForSC,,,Democratic Party,Lost,"168,109","61,049",0.363,,6.0,,,3,6,0,6,0,0,536,254,62.35333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,0,0,5,0,0,0,33
Collin Duprel,South Dakota 1st,House,Federal,Legislative,https://ballotpedia.org/Collin_Duprel,https://collinforcongress.com/,,,,Libertarian Party,Lost,"167,123","35,672",0.213,4.0,,,1.0,1,8,1,4,3,0,583,333,57.3,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,1,0,0,0,0,0,0
Cameron Parsons,Tennessee 1st,House,Federal,Legislative,https://ballotpedia.org/Cameron_Parsons,https://www.tn1.us,CParsonsTN1,,,Democratic Party,Lost,"187,896","37,032",0.197,,21.0,,22.0,22,729,65,43,66,555,7456,1812,-119.1336364,,,,,,547.0,43.0,,,,,,,,,,8.0,,22.0,22.0,,,,,,,,,,22.0,22.0,,,,,,,,,,,,,,5,3,1,0,1,0,0,0,0
Matt Makrom,Tennessee 1st,House,Federal,Legislative,https://ballotpedia.org/Matt_Makrom,https://mattforcongress.vote,,,,Independent,Lost,"187,896","1,245",0.007,,,3.0,3.0,3,112,8,0,6,98,617,269,60.13333333,,,,,,82.0,7.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0,0,0,0,0,0,0,0,0
Wayne Steele,Tennessee 4th,House,Federal,Legislative,https://ballotpedia.org/Wayne_Steele,https://steele4congress.us,,,,Democratic Party,Lost,"173,348","44,628",0.257,1.0,,,1.0,1,5,0,2,3,0,68,57,32.29,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
David Leighton Jones,Tennessee 4th,House,Federal,Legislative,https://ballotpedia.org/David_Leighton_Jones_(Tenessee_congressional_candidate),https://www.davidjonesfortn.com/,DavidJonesforTN,,,Independent,Lost,"173,348",708,0.004,25.0,30.0,6.0,5.0,5,121,17,60,16,28,1409,616,50.262,12.0,,,5.0,,1.0,,5.0,,,5.0,25.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,0,1,0,0,0,0
Tharon Chandler,Tennessee 4th,House,Federal,Legislative,https://ballotpedia.org/Tharon_Chandler,https://tharonchandlerforca-09.blogspot.com/,,,,Independent,Lost,"173,348",584,0.003,,50.0,17.0,187.0,187,1530,375,509,368,278,609319,5663,2.854438503,,,,,,223.0,187.0,,,187.0,164.0,55.0,256.0,130.0,,,,,,,,,,,,,,19.0,,,,,,,,39.0,,,,,,,,16.0,7,4,0,0,1,0,0,0,2
Rick Shannon,Tennessee 5th,House,Federal,Legislative,https://ballotpedia.org/Rick_Shannon,https://www.rickshannonofficial.com,RickyShannon1,,,Independent,Lost,"219,034",84,0.0,2.0,1.0,1.0,1.0,1,8,1,3,3,1,202,129,65.32,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,0,0,9,0,0,0,10
