names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt
Evangeline Hundley,South Carolina 5th,House,Federal,Legislative,https://ballotpedia.org/Evangeline_Hundley,https://www.ehundleyforcongress.com,district5eva,,,Democratic Party,Lost,"210,217","71,469",0.34,25,20,3,4,6,58,0,45,13,0,7412,1720,-3.766666667,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Buckner,South Carolina 6th,House,Federal,Legislative,https://ballotpedia.org/Duke_Buckner,https://voteforduke.com,,,,Republican Party,Lost,"188,253","72,509",0.385,,,,1,1,5,1,1,3,0,27,23,74.69,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Scott,South Carolina 7th,House,Federal,Legislative,https://ballotpedia.org/Daryl_Scott,https://www.scottforsc.com/,ScottForSC,,,Democratic Party,Lost,"168,109","61,049",0.363,,6,,,3,6,0,6,0,0,536,254,62.35333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Duprel,South Dakota 1st,House,Federal,Legislative,https://ballotpedia.org/Collin_Duprel,https://collinforcongress.com/,,,,Libertarian Party,Lost,"167,123","35,672",0.213,4,,,1,1,8,1,4,3,0,583,333,57.3,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Parsons,Tennessee 1st,House,Federal,Legislative,https://ballotpedia.org/Cameron_Parsons,https://www.tn1.us,CParsonsTN1,,,Democratic Party,Lost,"187,896","37,032",0.197,,21,,22,22,729,65,43,66,555,7456,1812,-119.1336364,,,,,,547,43,,,,,,,,,,8,,22,22,,,,,,,,,,22,22,,,,,,,,,,,,,
Matt Makrom,Tennessee 1st,House,Federal,Legislative,https://ballotpedia.org/Matt_Makrom,https://mattforcongress.vote,,,,Independent,Lost,"187,896","1,245",0.007,,,3,3,3,112,8,0,6,98,617,269,60.13333333,,,,,,82,7,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Wayne Steele,Tennessee 4th,House,Federal,Legislative,https://ballotpedia.org/Wayne_Steele,https://steele4congress.us,,,,Democratic Party,Lost,"173,348","44,628",0.257,1,,,1,1,5,0,2,3,0,68,57,32.29,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Leighton Jones,Tennessee 4th,House,Federal,Legislative,https://ballotpedia.org/David_Leighton_Jones_(Tenessee_congressional_candidate),https://www.davidjonesfortn.com/,DavidJonesforTN,,,Independent,Lost,"173,348",708,0.004,25,30,6,5,5,121,17,60,16,28,1409,616,50.262,12,,,5,,1,,5,,,5,25,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharon Chandler,Tennessee 4th,House,Federal,Legislative,https://ballotpedia.org/Tharon_Chandler,https://tharonchandlerforca-09.blogspot.com/,,,,Independent,Lost,"173,348",584,0.003,,50,17,187,187,1530,375,509,368,278,609319,5663,2.854438503,,,,,,223,187,,,187,164,55,256,130,,,,,,,,,,,,,,19,,,,,,,,39,,,,,,,,16
Rick Shannon,Tennessee 5th,House,Federal,Legislative,https://ballotpedia.org/Rick_Shannon,https://www.rickshannonofficial.com,RickyShannon1,,,Independent,Lost,"219,034",84,0,2,1,1,1,1,8,1,3,3,1,202,129,65.32,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odessa Kelly,Tennessee 7th,House,Federal,Legislative,https://ballotpedia.org/Odessa_Kelly,http://odessaforcongress.com/,OdessaKellyTN,,,Democratic Party,Lost,"180,678","68,897",0.381,110,180,30,36,36,766,18,302,138,308,12596,2352,38.49333333,18,10,,,36,136,,,2,,36,170,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Bergmann,Tennessee 9th,House,Federal,Legislative,https://ballotpedia.org/Charlotte_Bergmann,https://bergmannforcongress.com,ElectBergmann,,,Republican Party,Lost,"133,859","35,112",0.262,29,71,12,11,11,166,17,104,42,3,5147,1075,44.97818182,6,1,,,8,,7,,,,11,3,,,,,,,,,,,,,,,,,,1,,,,5,,,1,,,,,,,
Jrmar Jefferson,Texas 1st,House,Federal,Legislative,https://ballotpedia.org/Jrmar_Jefferson,https://www.jeffersonforcongress.com/,,,JrmarJefferson,Democratic Party,Lost,"227,630","49,877",0.219,4,8,2,1,4,18,1,12,4,1,1555,611,45.185,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandeep Srivastava,Texas 3rd,House,Federal,Legislative,https://ballotpedia.org/Sandeep_Srivastava,http://sandeepfortexas.com/,sandeepfortexas,,,Democratic Party,Lost,"229,218","85,656",0.374,2,20,1,5,5,59,19,28,12,0,1391,578,54.794,7,,,,1,,12,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iro Omere,Texas 4th,House,Federal,Legislative,https://ballotpedia.org/Iro_Omere,https://www.omereforcongress.com/,IroghamaTX,,,Democratic Party,Lost,"240,043","73,794",0.307,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Simmons,Texas 4th,House,Federal,Legislative,https://ballotpedia.org/John_Simmons_(Texas),https://www.johnsimmonsforcongress.com/,CongressRancher,,,Libertarian Party,Lost,"240,043","5,519",0.023,91,,1,,20,211,0,141,20,50,2479,498,51.008,,20,,,19,50,,,,,,,,,,,,,,,10,,,,,20,,,,,,,,,,,,,,,,,,
Johnny Teague,Texas 7th,House,Federal,Legislative,https://ballotpedia.org/Johnny_Teague,https://www.johnnyteague.com/,for_teague,,,Republican Party,Lost,"128,724","45,927",0.357,5,3,1,1,1,26,3,11,3,9,868,393,37.44,2,,1,3,,6,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Jones,Texas 8th,House,Federal,Legislative,https://ballotpedia.org/Laura_Jones_(Texas),https://laurajonesforcongress.com/,CongressLaura,,,Democratic Party,Lost,"174,837","50,126",0.287,17,,,,1,17,0,17,0,0,286,172,53.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Leon,Texas 9th,House,Federal,Legislative,https://ballotpedia.org/Jimmy_Leon,https://www.jimmyileonuscongressd-9.org/,,,,Republican Party,Lost,"120,213","27,221",0.226,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Hunt,Texas 12th,House,Federal,Legislative,https://ballotpedia.org/Trey_Hunt,https://www.huntforcongress.org/,VoteHunt2022,,,Democratic Party,Lost,"214,666","79,784",0.372,81,82,21,,19,212,26,163,22,1,6435,1415,64.61894737,2,,1,,1,,,,,,,1,,3,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen Brown,Texas 13th,House,Federal,Legislative,https://ballotpedia.org/Kathleen_Brown_(Texas),https://www.kathleenfortx.com,Kat4District13,,,Democratic Party,Lost,"213,982","52,683",0.246,,,,1,1,4,0,1,2,1,32,26,63.7,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Mikal Williams,Texas 14th,House,Federal,Legislative,https://ballotpedia.org/Mikal_Williams,https://www.electmikalwilliams.com/,MikalDWilliams,,,Democratic Party,Lost,"191,734","59,839",0.312,28,,11,7,7,130,35,28,32,35,6107,1606,49.62,28,,,,7,21,7,,,,7,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Vallejo,Texas 15th,House,Federal,Legislative,https://ballotpedia.org/Michelle_Vallejo,https://michellefortx15.com,MichelleVforTX,,,Democratic Party,Lost,"151,590","67,913",0.448,2,,,,1,3,0,2,1,0,27,25,94.83,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene Armendariz-Jackson,Texas 16th,House,Federal,Legislative,https://ballotpedia.org/Irene_Armendariz-Jackson,https://irenearmendarizjackson.com/,ArmendarizDis16,,amazingurl09,Republican Party,Lost,"120,292","43,346",0.36,343,527,16,65,69,2037,767,916,205,149,14837,1551,63.32186441,185,,1,,56,7,65,,,4,67,125,31,13,6,,3,4,,,,,,7,,,1,,,,,,,1,,,496,14,,,,,,
Carmen Maria Montiel,Texas 18th,House,Federal,Legislative,https://ballotpedia.org/Carmen_Maria_Montiel,https://carmenforcongress.com/,Carmen4Congress,,,Republican Party,Lost,"105,799","26,447",0.25,,18,3,4,25,151,2,19,20,110,2473,756,66.72,2,,,,11,110,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Duncan,Texas 18th,House,Federal,Legislative,https://ballotpedia.org/Vince_Duncan,https://www.vinceforus.com/,,,duncanvince23,Independent,Lost,"105,799","1,765",0.017,,2,6,12,12,106,47,19,38,2,5531,1338,47.48083333,,,,,8,,47,,,,12,,12,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Claudia Zapata,Texas 21st,House,Federal,Legislative,https://ballotpedia.org/Claudia_Zapata,https://www.conclaudia.com,PoderConClaudia,,,Democratic Party,Lost,"305,375","114,599",0.375,151,10,7,2,10,205,0,173,14,18,1105,379,71.19777778,,2,,,5,18,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
Joseph LeBlanc,Texas 22nd,House,Federal,Legislative,https://ballotpedia.org/Joseph_LeBlanc_(Texas),https://leblanc4texas.com/,PieRatKing,,,Libertarian Party,Lost,"241,215","5,378",0.022,90,,8,12,12,337,33,146,80,78,3146,963,55.925,22,,,,,77,,,,1,12,1,,,,,,,11,,,11,,,,,,,,55,11,4,,11,,,,,,11,,,,
John Lira,Texas 23rd,House,Federal,Legislative,https://ballotpedia.org/John_Lira_(Texas),https://liraforcongress.com/,liraforcongress,,,Democratic Party,Lost,"178,574","69,806",0.391,239,98,30,33,34,598,30,341,119,108,17781,2531,24.13090909,23,,,4,22,108,,,,,,,,7,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Lopez,Texas 23rd,House,Federal,Legislative,https://ballotpedia.org/Francisco_Lopez_(Texas),https://frank4cd23.com,usborderpatriot,,,Independent,Lost,"178,574","8,395",0.047,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan McDowell,Texas 24th,House,Federal,Legislative,https://ballotpedia.org/Jan_McDowell,https://www.janmcdowell.com,JanForCongress,,,Democratic Party,Lost,"269,796","108,303",0.401,5,3,7,,9,42,0,17,14,11,1927,733,70.59888889,,,,,7,9,,,,,,,,,,,2,,,,,,,,,9,,,,,,,,,,,,,,,,,,
Mike Kolls,Texas 26th,House,Federal,Legislative,https://ballotpedia.org/Mike_Kolls,https://kollsforcongress.org/,,,,Libertarian Party,Lost,"261,983","80,421",0.307,,15,12,17,17,130,31,53,46,0,8302,1836,49.47176471,,,,,,,31,,,17,17,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
Cassy Garcia,Texas 28th,House,Federal,Legislative,https://ballotpedia.org/Cassy_Garcia,https://www.cassyforcongress.com/,CasandraLGarcia,,,Republican Party,Lost,"139,585","58,869",0.422,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachariah Manning,Texas 30th,House,Federal,Legislative,https://ballotpedia.org/Zachariah_Manning,https://zachariahmanning.com,Zachariah4US,,,Independent,Lost,"180,513","3,820",0.021,,,10,9,9,493,30,3,19,441,2492,693,43.96333333,2,,,,,409,28,,,,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Gillespie,Texas 33rd,House,Federal,Legislative,https://ballotpedia.org/Patrick_Gillespie_(Texas),https://patrickgillespie4congress33.com,,,,Republican Party,Lost,"94,055","23,535",0.25,89,,5,8,8,219,1,122,55,41,1289,388,52.78571429,1,,,,,40,,,,,8,,,,,,1,,8,,1,8,,,,,,,,32,8,2,,,,,,,,8,,,,
Mayra Flores,Texas 34th,House,Federal,Legislative,https://ballotpedia.org/Mayra_Flores,https://www.mayrafloresforcongress.com/,MayraFlores2022,,,Republican Party,Lost,"134,239","59,404",0.443,341,18,,18,18,662,52,359,36,215,14103,1881,49.42176471,44,,2,,18,24,,,,,,189,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,
Dan McQueen,Texas 35th,House,Federal,Legislative,https://ballotpedia.org/Dan_McQueen,http://www.mcqueenforcongress.com/,,,,Republican Party,Lost,"121,659","30,566",0.251,44,,3,5,5,74,8,50,15,1,944,402,69.846,4,,,,2,1,4,,,5,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Haire,Texas 36th,House,Federal,Legislative,https://ballotpedia.org/Jon_Haire,https://jonhaireforcongress.com/,jonhaire_36,,,Democratic Party,Lost,"167,368","49,536",0.296,,,,3,3,9,2,0,6,1,84,44,82.88333333,,,,,,,1,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Patterson,Texas 37th,House,Federal,Legislative,https://ballotpedia.org/Clark_Patterson,http://www.clarkpforcongress.com/,ClarkPatterso12,,ClarkPatterson,Libertarian Party,Lost,"285,789","6,332",0.022,,10,5,5,5,50,22,10,16,2,2972,753,44.328,4,,,,1,,18,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Dejean,Texas 38th,House,Federal,Legislative,https://ballotpedia.org/Joel_Dejean,https://joeldejeanforcongress.com,VoteJoelDejean,,,Independent,Lost,"182,438","2,221",0.012,,4,3,1,1,8,0,4,4,0,549,312,-38.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mitchell,Utah 2nd,House,Federal,Legislative,https://ballotpedia.org/Nick_Mitchell_(Utah),https://nickmitchellforcongress.com/,Nick4utah,,,Democratic Party,Lost,"185,209","56,504",0.305,,,1,,1,8,3,1,2,2,223,145,62.58,3,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Mcfarland,Utah 2nd,House,Federal,Legislative,https://ballotpedia.org/Jay_Mcfarland,https://www.jaymacforutah.com/,JayMcfarland,,,United Utah Party,Lost,"185,209","6,115",0.033,454,1,6,42,42,852,110,455,50,237,7816,749,45.85333333,70,,,,2,2,1,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,
Glenn J. Wright,Utah 3rd,House,Federal,Legislative,https://ballotpedia.org/Glenn_J._Wright,https://wrightforutahcongressionaldistrict3.com/,,,,Democratic Party,Lost,"155,506","42,559",0.274,,,68,38,38,1691,71,5,108,1507,14038,1329,60.68351351,2,,,,,1372,66,,,,1,135,2,3,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,
January Walker,Utah 4th,House,Federal,Legislative,https://ballotpedia.org/January_Walker,https://januaryforutah.com,UtahPolitician,,,United Utah Party,Lost,"151,319","9,257",0.061,,,11,6,17,1322,27,0,21,1274,4753,1006,48.01571429,5,,,,4,1212,7,,,,,62,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Madden,Vermont 1st,House,Federal,Legislative,https://ballotpedia.org/Liam_Madden,https://rebirthdemocracy.com,LiamAwakening,,,Republican Party,Lost,"279,431","78,053",0.279,306,1,,2,21,407,24,309,43,31,16654,3706,37.5805,1,,,,20,28,,,,,,1,2,23,,,2,,21,,,,,,,,,,,,,,,,,,,,,,,,,
Ericka Redic,Vermont 1st,House,Federal,Legislative,https://ballotpedia.org/Ericka_Redic,https://erickaredic.com,ErickaRedic,,,Libertarian Party,Lost,"279,431","12,540",0.045,112,27,30,25,25,339,5,139,101,94,9723,1960,48.1164,5,,,,7,18,,,,,7,50,,,,,26,,25,,,,,,,,7,,,,,,,,,,,,,,,,,
Herb Jones,Virginia 1st,House,Federal,Legislative,https://ballotpedia.org/Herb_Jones_(Virginia),https://herbjonesforvirginia.com/,herb4virginia,,,Democratic Party,Lost,"346,934","146,674",0.423,44,14,1,7,7,173,37,58,22,56,7308,1381,47.95857143,35,,,,7,42,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Elaine Luria,Virginia 2nd,House,Federal,Legislative,https://ballotpedia.org/Elaine_Luria,https://elaineforcongress.com/,ElaineLuriaVA,,,Democratic Party,Lost,"291,705","139,675",0.479,312,91,,88,89,925,178,411,200,136,11955,2298,33.61848837,172,8,,,9,133,,1,,,7,2,,,,,,,86,,,,,,,,10,1,2,,,,1,,,,2,,,,,,,
Terry Namkung,Virginia 3rd,House,Federal,Legislative,https://ballotpedia.org/Terry_Namkung,https://namkungforvirginia.com/,TerryNamkung,,,Republican Party,Lost,"203,908","66,659",0.327,67,57,2,,22,282,68,204,9,1,11690,1723,47.47454545,68,,,,7,,,,,,,1,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
Leon Benjamin Sr.,Virginia 4th,House,Federal,Legislative,https://ballotpedia.org/Leon_Benjamin_Sr.,https://benjamin4congress.com/,Leon4Congress,,LeonBenjamin,Republican Party,Lost,"241,518","87,409",0.362,4,5,11,4,4,31,5,10,15,1,614,223,45.3075,,,1,,,1,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina Lipsman,Virginia 8th,House,Federal,Legislative,https://ballotpedia.org/Karina_Lipsman,https://www.karinaforcongress.com/,KarinaCongress,,,Republican Party,Lost,"257,759","64,768",0.251,169,134,11,,33,396,72,304,13,7,8006,1538,61.0230303,,,,,2,,,,,,,,1,11,49,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Fikre,Virginia 8th,House,Federal,Legislative,https://ballotpedia.org/Teddy_Fikre,https://fikre4va.com/,teddy_fikre,,,Independent,Lost,"257,759","3,796",0.015,1077,636,162,167,167,3087,692,1723,496,176,94086,5713,38.21041916,680,,,,,167,,,,,167,9,10,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
Taysha DeVaughan,Virginia 9th,House,Federal,Legislative,https://ballotpedia.org/Taysha_DeVaughan,https://www.devaughanforcongress.com,dev4congress,,,Democratic Party,Lost,"244,893","64,852",0.265,25,6,6,,7,65,0,47,10,8,1912,601,34.64714286,,7,,,4,7,,,,,,1,2,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Hung Cao,Virginia 10th,House,Federal,Legislative,https://ballotpedia.org/Hung_Cao,https://www.hungcaoforcongress.com,hungcaocongress,,,Republican Party,Lost,"288,691","135,575",0.47,3,20,,20,20,123,0,63,60,0,4273,1061,77.19631579,,,,,20,,,,3,20,20,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
James Myles,Virginia 11th,House,Federal,Legislative,https://ballotpedia.org/James_Myles,https://www.mylesforcongress.com,Myles11CD,,,Republican Party,Lost,"278,863","93,460",0.335,,1,,1,1,21,17,2,1,1,677,363,66.98,12,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Vincent Cavaleri,Washington 1st,House,Federal,Legislative,https://ballotpedia.org/Vincent_Cavaleri,https://www.cavaleriforcongress.com/,cavalerifor,,,Republican Party,Lost,"156,659","56,902",0.363,79,80,9,,37,290,3,239,11,37,1843,636,71.20891892,2,22,,,2,37,,,,,,,21,,,1,,,,,,,,,,37,,,,,,,,,,,,,,,,,,
Dan Matthews,Washington 2nd,House,Federal,Legislative,https://ballotpedia.org/Dan_Matthews_(Washington),https://dan2congress.com,dan2congress,,,Republican Party,Lost,"188,200","72,086",0.383,8,96,10,10,10,160,20,105,30,5,7172,1604,47.227,10,,,,,,,10,,,10,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Kent,Washington 3rd,House,Federal,Legislative,https://ballotpedia.org/Joe_Kent_(Washington),https://www.joekentforcongress.com,joekent16jan19,,,Republican Party,Lost,"319,759","157,685",0.493,,8,,1,1,16,2,8,1,5,558,285,33.17,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug White,Washington 4th,House,Federal,Legislative,https://ballotpedia.org/Doug_White,https://www.dougwhite4congress.us/,DougCongress,,,Democratic Party,Lost,"122,630","37,859",0.309,1,501,3,5,98,908,296,502,73,37,31130,4781,54.32916667,5,,,,49,13,,,,,8,16,,140,97,41,8,,,,,8,,,,,,11,,,,,,,,,,,,,2,,,
Natasha Hill,Washington 5th,House,Federal,Legislative,https://ballotpedia.org/Natasha_Hill,https://www.natashaforcongress.com/,VoteNatashaHill,,,Democratic Party,Lost,"191,659","77,977",0.407,13,,2,,8,21,1,13,4,3,3259,1364,55.27625,,,,,2,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Kreiselmaier,Washington 6th,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Kreiselmaier,https://cleanupthehouse.com/,cleanupthehouse,,,Republican Party,Lost,"218,609","83,314",0.381,,14,12,4,7,116,31,50,16,19,1951,825,19.39571429,29,,,,,,,,,,,10,,,,,9,,,,,,,,,36,,,,,,,,,,,2,,,,,,,
Douglas Michael Basler,Washington 9th,House,Federal,Legislative,https://ballotpedia.org/Doug_Basler,https://dougbasler.com,dougbasler,,,Republican Party,Lost,"118,928","34,222",0.288,33,,,11,11,204,7,63,33,101,2884,901,31.13,6,,,,11,3,,,1,,11,97,26,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,,
Keith Swank,Washington 10th,House,Federal,Legislative,https://ballotpedia.org/Keith_Swank,http://www.keithswank.com,Swank4America,,,Republican Party,Lost,"166,453","71,504",0.43,5,,,1,1,18,0,8,3,7,742,360,51.01,,,,,1,,,,,,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacy Watson,West Virginia 1st,House,Federal,Legislative,https://ballotpedia.org/Lacy_Watson,https://votelacy.com/,votelacy,,,Democratic Party,Lost,"226,117","65,064",0.288,173,52,22,27,27,513,52,225,83,153,4140,813,27.69074074,25,,,,7,,,25,,,27,150,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Belinda Fox-Spencer,West Virginia 1st,House,Federal,Legislative,https://ballotpedia.org/Belinda_Fox-Spencer,https://www.belindafox-spencerforwvcongress.com/,bfoxspencer,,,Independent,Lost,"226,117","10,194",0.045,,6,5,4,4,17,1,6,9,1,1529,604,44.805,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Wendell,West Virginia 2nd,House,Federal,Legislative,https://ballotpedia.org/Barry_Wendell,https://barry4congress2022.com/,VoteforBarry,,,Democratic Party,Lost,"244,886","84,278",0.344,,,,1,1,4,0,1,3,0,31,28,73.64,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan Buchser-Lochocki,West Virginia 2nd,House,Federal,Legislative,https://ballotpedia.org/Susan_Buchser-Lochocki,https://www.susan4usa.com/,BuchserSusan,,,Independent,Lost,"244,886",115,0,,13,1,2,13,19,0,13,6,0,8278,1125,65.56923077,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ann Roe,Wisconsin 1st,House,Federal,Legislative,https://ballotpedia.org/Ann_Roe,https://www.annroeforcongress.com/,annsroe,,,Democratic Party,Lost,"300,597","135,788",0.452,,,,1,1,4,1,1,2,0,52,43,79.3,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Olsen,Wisconsin 2nd,House,Federal,Legislative,https://ballotpedia.org/Erik_Olsen,https://olsenforliberty.com/,,,,Republican Party,Lost,"378,198","101,855",0.269,1,1,7,1,1,17,1,2,10,4,39,32,40.35,,,,,1,,,1,,,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Alexander,Wisconsin 2nd,House,Federal,Legislative,https://ballotpedia.org/Douglas_Alexander_(Wisconsin),https://www.alexanderforcongress2022.com/,,,DouglasWI1957,Independent,Lost,"378,198","7,682",0.02,10,1,3,1,1,27,1,19,6,1,359,221,60.75,1,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
Tim Rogers,Wisconsin 4th,House,Federal,Legislative,https://ballotpedia.org/Tim_Rogers_(Wisconsin),https://www.rogersforwisconsin.com/,,,,Republican Party,Lost,"255,051","57,660",0.226,4,,6,2,8,20,5,4,11,0,1407,536,84.735,1,,,,3,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Van Someren,Wisconsin 5th,House,Federal,Legislative,https://ballotpedia.org/Mike_Van_Someren,https://www.mikevansomeren.com/,mvsforwi,,mikevs62,Democratic Party,Lost,"378,276","134,558",0.356,6,,5,,20,68,4,27,16,21,12409,2646,53.38529412,4,,,,11,20,,,,,,,1,,,,1,,,,,,,,,20,,,,,,,,,,,,,,,,,,
Richard Ausman,Wisconsin 7th,House,Federal,Legislative,https://ballotpedia.org/Richard_Ausman,https://ausmanforuscongress.com/,,,,Democratic Party,Lost,"338,148","128,879",0.381,,6,1,1,1,8,0,6,2,0,393,204,63.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie Hancock,Wisconsin 8th,House,Federal,Legislative,https://ballotpedia.org/Julie_Hancock,https://electjuliehancock.com/,Julie_Hancock32,,,Democratic Party,Lost,"310,196","3,160",0.01,11,9,1,3,3,115,4,23,12,76,1999,566,60.85333333,,,,,2,70,,3,,,3,6,,,,,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,
Marissa Selvig,Wyoming 1st,House,Federal,Legislative,https://ballotpedia.org/Marissa_Selvig,https://www.selvigforcongress.com,MarissaSelvig,,,Constitution Party,Lost,"181,265","4,289",0.024,8,36,16,,13,146,5,86,24,31,3773,1145,18.49923077,,16,,,8,29,5,,,,,,8,,,,2,,,,1,,,,,13,,,,,,,,,4,,,,,,,,,
